Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Last Warrior: Root of Evil,"$22,428,826",-,-,"$22,428,826",100%
2,The Dry,"$5,855,861",-,-,"$5,855,861",100%
3,Octonauts: The Ring of Fire,"$5,300,000",-,-,"$5,300,000",100%
4,Gintama: The Final,"$4,300,000",-,-,"$4,300,000",100%
5,The Marksman,"$3,705,000","$3,705,000",100%,-,-
6,The Emperor's New Groove 2021 Re-release,"$219,000","$219,000",100%,-,-
7,Um Tio Quase Perfeito 2,"$71,248",-,-,"$71,248",100%
8,Sing 2021 Re-release,"$53,000","$53,000",100%,-,-
9,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$50,509",-,-,"$50,509",100%
10,Shadow in the Cloud,"$40,000","$40,000",100%,-,-
11,MLK/FBI,"$33,250","$33,250",100%,-,-
12,Jurassic World 2021 Re-release,"$25,000","$25,000",100%,-,-
13,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$24,638",-,-,"$24,638",100%
14,Big Miracle 2021 Re-release,"$20,846",-,-,"$20,846",100%
15,From the Vine,"$15,601",-,-,"$15,601",100%
16,Some Kind of Heaven,"$13,271","$13,271",100%,-,-
17,Bloody Hell,"$13,144","$13,144",100%,-,-
18,All Hands on Deck,"$10,103",-,-,"$10,103",100%
19,Ramprasad Ki Tehrvi,"$8,899",-,-,"$8,899",100%
20,Days of the Bagnold Summer,"$7,812",-,-,"$7,812",100%
21,Sumikko Gurashi the Movie: The Unexpected Picture Book and the Secret Child 2021 Re-release,"$6,332",-,-,"$6,332",100%
22,My Salinger Year,"$4,833",-,-,"$4,833",100%
23,The Delivered,"$4,221",-,-,"$4,221",100%
24,Average Joe,"$2,825","$2,825",100%,-,-
25,The Very Excellent Mr. Dundee,"$2,677",-,-,"$2,677",100%
26,Zombie Bro,"$1,456","$1,456",100%,-,-
27,Woman on the Beach 2021 Re-release,$160,-,-,$160,100%
